generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.6,27.0
1,41.0,36.97,31.0
2,42.0,37.57,32.0
3,42.0,37.79,32.0
4,42.0,38.52,35.0
5,43.0,38.7,35.0
6,43.0,39.01,31.0
7,43.0,39.23,32.0
8,43.0,39.76,33.0
9,43.0,39.83,35.0
10,43.0,40.04,35.0
11,43.0,40.06,33.0
12,43.0,40.22,35.0
13,43.0,40.48,35.0
14,43.0,40.55,36.0
15,43.0,41.14,35.0
16,43.0,41.78,36.0
17,43.0,42.45,39.0
18,43.0,42.78,41.0
19,43.0,42.9,40.0
20,43.0,42.8,38.0
21,43.0,42.92,40.0
22,43.0,42.86,39.0
23,43.0,42.73,38.0
24,43.0,42.94,40.0
25,43.0,42.93,40.0
26,43.0,42.69,39.0
27,43.0,42.88,39.0
28,43.0,42.82,39.0
29,43.0,42.84,39.0
30,43.0,42.84,39.0
31,43.0,42.85,39.0
32,43.0,42.86,39.0
33,43.0,42.87,39.0
34,43.0,42.94,39.0
35,43.0,42.85,40.0
36,43.0,42.89,40.0
37,43.0,42.93,40.0
38,43.0,42.82,40.0
39,43.0,42.84,40.0
40,43.0,42.93,40.0
41,43.0,42.89,38.0
42,43.0,42.89,39.0
43,43.0,42.81,39.0
44,43.0,42.96,39.0
45,43.0,42.84,38.0
46,43.0,42.81,38.0
47,43.0,42.92,39.0
48,43.0,42.87,39.0
49,43.0,42.95,40.0
50,43.0,42.96,41.0
51,43.0,42.8,38.0
52,43.0,43.0,43.0
53,43.0,42.95,39.0
54,43.0,42.93,39.0
55,43.0,42.83,39.0
56,43.0,42.86,39.0
57,43.0,42.92,40.0
58,43.0,42.85,38.0
59,43.0,42.94,39.0
60,43.0,42.87,39.0
61,43.0,42.91,40.0
62,43.0,42.93,39.0
63,43.0,42.87,39.0
64,43.0,42.84,39.0
65,43.0,42.9,39.0
66,43.0,42.97,42.0
67,43.0,42.89,40.0
68,43.0,42.72,38.0
69,43.0,42.91,41.0
70,44.0,42.78,39.0
71,45.0,42.9,39.0
