generation,best_fitness,avg_fitness,worst_fitness
0,41.0,34.9,25.0
1,41.0,34.66,26.0
2,41.0,35.13,25.0
3,41.0,35.27,28.0
4,41.0,35.41,29.0
5,41.0,35.82,25.0
6,41.0,35.52,26.0
7,42.0,36.2,26.0
8,42.0,36.02,29.0
9,42.0,36.3,28.0
10,42.0,36.42,28.0
11,42.0,36.72,29.0
12,42.0,36.27,29.0
13,42.0,35.9,29.0
14,42.0,36.58,30.0
15,42.0,36.45,29.0
16,42.0,36.41,23.0
17,42.0,37.1,31.0
18,42.0,37.33,31.0
19,42.0,36.91,30.0
20,42.0,36.73,29.0
21,42.0,36.77,30.0
22,42.0,36.67,27.0
23,42.0,36.47,26.0
24,42.0,36.13,28.0
25,42.0,36.39,29.0
26,42.0,36.94,30.0
27,42.0,37.17,28.0
28,42.0,37.05,29.0
29,42.0,37.03,32.0
30,42.0,37.38,28.0
31,42.0,37.04,29.0
32,42.0,37.05,28.0
33,42.0,37.01,32.0
34,42.0,37.1,31.0
35,42.0,37.27,31.0
36,42.0,37.23,30.0
37,42.0,37.35,32.0
38,42.0,37.48,29.0
39,43.0,37.25,27.0
40,43.0,37.87,28.0
41,43.0,37.74,32.0
42,43.0,37.62,30.0
43,43.0,38.23,32.0
44,43.0,38.28,32.0
45,43.0,38.73,33.0
46,43.0,38.95,34.0
47,43.0,39.41,31.0
48,43.0,39.24,32.0
49,43.0,39.31,33.0
50,43.0,39.41,32.0
51,43.0,39.65,32.0
52,43.0,39.72,33.0
53,43.0,39.25,33.0
54,43.0,39.55,32.0
55,43.0,39.85,34.0
56,43.0,39.9,36.0
57,43.0,39.66,36.0
58,43.0,39.88,36.0
59,43.0,39.85,34.0
60,43.0,40.05,35.0
61,43.0,39.91,33.0
62,43.0,40.0,33.0
63,43.0,39.65,33.0
64,43.0,39.53,33.0
65,43.0,39.88,32.0
66,43.0,39.8,34.0
67,43.0,39.49,34.0
68,43.0,39.58,34.0
69,43.0,39.93,34.0
70,43.0,39.7,32.0
71,43.0,39.83,32.0
72,43.0,40.08,35.0
73,43.0,40.19,35.0
74,43.0,40.21,32.0
75,43.0,40.2,34.0
76,43.0,40.29,36.0
