generation,best_fitness,avg_fitness,worst_fitness
0,40.0,35.5,23.0
1,41.0,35.38,27.0
2,41.0,35.37,27.0
3,41.0,35.77,28.0
4,41.0,35.65,25.0
5,41.0,35.5,29.0
6,41.0,36.01,28.0
7,41.0,35.42,25.0
8,41.0,35.27,30.0
9,41.0,35.04,26.0
10,41.0,34.96,27.0
11,41.0,35.63,28.0
12,41.0,36.25,27.0
13,41.0,36.25,30.0
14,41.0,36.32,29.0
15,41.0,36.16,32.0
16,42.0,36.56,30.0
17,43.0,36.21,29.0
18,43.0,36.25,28.0
19,43.0,35.96,28.0
20,43.0,36.12,27.0
21,43.0,36.21,29.0
22,43.0,36.48,29.0
23,43.0,36.73,30.0
24,43.0,37.23,31.0
25,43.0,37.7,30.0
26,43.0,37.73,32.0
27,43.0,37.44,32.0
28,44.0,37.52,32.0
29,44.0,37.15,27.0
30,44.0,37.39,27.0
31,44.0,37.74,29.0
32,44.0,38.15,30.0
33,44.0,38.36,29.0
34,44.0,38.02,31.0
35,44.0,38.33,30.0
36,44.0,38.1,30.0
37,44.0,38.05,30.0
38,44.0,37.65,28.0
39,44.0,37.46,29.0
40,44.0,37.26,31.0
41,44.0,37.36,31.0
42,44.0,37.58,29.0
43,44.0,37.68,31.0
44,44.0,37.67,29.0
45,44.0,37.6,30.0
46,44.0,37.88,32.0
47,44.0,37.96,31.0
48,44.0,38.05,33.0
49,44.0,38.01,33.0
50,44.0,38.14,33.0
51,44.0,38.4,33.0
52,44.0,38.45,31.0
53,44.0,38.87,31.0
54,44.0,39.25,33.0
55,44.0,39.03,30.0
56,44.0,39.06,33.0
57,44.0,39.18,34.0
58,44.0,39.29,35.0
59,44.0,39.45,32.0
60,44.0,39.38,33.0
61,44.0,39.71,32.0
62,44.0,39.75,31.0
63,44.0,39.75,32.0
64,44.0,39.76,32.0
65,44.0,39.72,32.0
66,44.0,39.98,33.0
67,44.0,39.8,31.0
68,44.0,39.76,32.0
69,44.0,39.74,33.0
70,44.0,39.62,32.0
71,44.0,39.21,33.0
72,44.0,39.79,33.0
73,44.0,39.57,31.0
74,44.0,39.88,31.0
75,44.0,39.41,31.0
76,44.0,39.68,30.0
77,44.0,39.77,33.0
78,44.0,40.27,34.0
79,44.0,40.28,32.0
80,44.0,40.3,34.0
81,44.0,40.17,33.0
82,44.0,39.92,33.0
83,44.0,40.47,36.0
84,44.0,40.04,35.0
85,44.0,40.41,35.0
86,44.0,40.54,35.0
87,44.0,40.7,35.0
88,44.0,41.07,36.0
89,44.0,41.12,36.0
90,44.0,41.1,35.0
91,44.0,41.15,35.0
92,44.0,41.19,37.0
93,44.0,40.91,35.0
94,44.0,41.2,35.0
95,44.0,41.42,34.0
96,44.0,41.58,36.0
97,44.0,41.64,36.0
98,44.0,41.64,35.0
99,44.0,41.44,37.0
100,44.0,41.44,35.0
101,44.0,41.41,34.0
102,44.0,41.25,35.0
103,44.0,40.98,36.0
104,44.0,40.9,36.0
105,44.0,41.05,35.0
106,44.0,40.93,36.0
107,44.0,40.97,36.0
108,44.0,41.19,35.0
109,44.0,41.4,36.0
110,44.0,41.14,35.0
111,44.0,41.05,36.0
112,44.0,41.08,36.0
113,44.0,41.1,37.0
114,44.0,41.38,37.0
115,44.0,41.4,36.0
116,44.0,41.47,37.0
117,44.0,41.52,36.0
118,44.0,41.98,37.0
119,44.0,41.87,36.0
120,44.0,41.7,37.0
121,44.0,41.95,37.0
122,44.0,41.78,36.0
123,44.0,41.91,37.0
124,44.0,41.97,36.0
125,44.0,41.72,35.0
126,44.0,41.89,33.0
127,44.0,41.66,33.0
128,44.0,41.85,35.0
129,44.0,41.96,35.0
130,44.0,42.07,34.0
131,44.0,42.27,34.0
132,44.0,42.43,37.0
133,44.0,42.12,38.0
134,44.0,42.15,38.0
135,44.0,42.15,37.0
136,44.0,42.13,36.0
137,44.0,42.14,38.0
138,44.0,42.21,38.0
139,44.0,42.1,38.0
140,44.0,42.4,39.0
141,44.0,42.32,36.0
142,44.0,42.29,39.0
143,44.0,42.48,38.0
144,44.0,42.52,39.0
145,44.0,42.56,38.0
146,44.0,42.3,37.0
147,44.0,42.46,36.0
148,44.0,42.25,36.0
149,44.0,42.11,35.0
150,44.0,41.7,35.0
151,44.0,41.75,37.0
152,44.0,41.67,36.0
153,44.0,41.5,34.0
154,44.0,41.51,35.0
155,44.0,41.37,35.0
156,44.0,41.31,37.0
157,44.0,41.7,35.0
158,44.0,41.58,37.0
159,44.0,41.42,37.0
160,44.0,41.07,36.0
161,44.0,40.71,34.0
162,44.0,40.33,33.0
163,44.0,40.72,34.0
164,44.0,40.69,36.0
165,44.0,40.68,34.0
166,44.0,40.9,33.0
167,44.0,41.06,36.0
168,44.0,40.9,35.0
169,44.0,40.62,34.0
170,44.0,40.83,34.0
171,44.0,41.07,36.0
172,44.0,40.72,33.0
173,44.0,40.94,34.0
174,44.0,41.06,30.0
175,44.0,40.98,33.0
176,44.0,40.99,33.0
177,44.0,40.87,32.0
178,44.0,41.07,31.0
179,44.0,41.02,31.0
180,44.0,41.32,35.0
181,44.0,41.01,35.0
182,44.0,41.2,35.0
183,44.0,40.99,33.0
184,44.0,41.33,35.0
185,44.0,41.87,38.0
186,44.0,41.96,37.0
187,44.0,41.88,36.0
188,44.0,41.7,35.0
189,44.0,41.74,35.0
190,44.0,41.68,37.0
191,44.0,41.5,34.0
192,44.0,41.61,36.0
193,44.0,41.67,34.0
194,44.0,41.42,34.0
195,44.0,41.07,33.0
196,44.0,41.3,36.0
197,44.0,41.12,35.0
198,44.0,41.54,36.0
199,44.0,41.51,35.0
200,44.0,41.79,35.0
201,44.0,41.52,35.0
202,44.0,41.17,34.0
203,44.0,40.95,35.0
204,44.0,40.49,34.0
205,44.0,40.46,31.0
206,44.0,40.49,32.0
207,44.0,40.36,34.0
208,44.0,40.38,33.0
209,44.0,40.54,35.0
210,44.0,40.43,34.0
211,44.0,40.59,35.0
212,44.0,40.78,34.0
213,44.0,40.22,28.0
214,44.0,40.61,32.0
215,44.0,40.65,35.0
216,44.0,40.77,34.0
217,44.0,41.1,36.0
218,44.0,40.98,37.0
219,44.0,40.89,36.0
220,44.0,41.0,36.0
221,44.0,41.09,33.0
222,44.0,41.09,36.0
223,44.0,41.11,35.0
224,44.0,41.03,33.0
225,44.0,41.39,32.0
226,44.0,41.29,36.0
227,44.0,41.34,36.0
228,44.0,41.04,34.0
229,44.0,41.29,35.0
230,44.0,41.48,35.0
231,44.0,41.7,35.0
232,44.0,41.56,35.0
233,44.0,41.36,37.0
234,44.0,41.52,37.0
235,44.0,41.44,35.0
236,44.0,41.36,35.0
237,44.0,41.4,35.0
238,44.0,41.49,35.0
239,44.0,41.32,34.0
240,44.0,41.41,34.0
241,44.0,41.53,37.0
242,44.0,41.53,36.0
243,44.0,41.39,36.0
244,44.0,41.28,37.0
245,44.0,41.5,36.0
246,44.0,41.46,36.0
247,44.0,41.4,34.0
248,44.0,41.18,35.0
249,44.0,41.58,36.0
250,44.0,41.61,36.0
251,44.0,41.63,33.0
252,44.0,41.67,36.0
253,44.0,41.66,36.0
254,44.0,41.89,37.0
255,44.0,41.69,37.0
256,44.0,41.58,36.0
257,44.0,41.35,38.0
258,44.0,41.08,34.0
259,44.0,41.18,34.0
260,44.0,41.12,35.0
261,44.0,41.21,34.0
262,44.0,41.1,34.0
263,44.0,40.9,33.0
264,44.0,40.67,35.0
265,44.0,41.0,33.0
266,44.0,41.36,35.0
267,44.0,41.6,37.0
268,44.0,41.49,35.0
269,44.0,41.4,35.0
270,44.0,41.39,37.0
271,44.0,41.26,35.0
272,44.0,41.23,34.0
273,44.0,40.94,34.0
274,44.0,41.01,33.0
275,44.0,41.09,32.0
276,44.0,41.67,35.0
277,44.0,41.64,35.0
278,44.0,41.67,34.0
279,44.0,41.76,36.0
280,44.0,41.6,35.0
281,44.0,41.33,35.0
282,44.0,41.52,33.0
283,44.0,41.31,36.0
284,44.0,40.67,34.0
285,44.0,40.98,35.0
286,44.0,41.05,35.0
287,44.0,40.9,32.0
288,44.0,41.19,34.0
289,44.0,41.12,35.0
290,44.0,41.35,36.0
291,44.0,40.85,35.0
292,44.0,40.52,35.0
293,44.0,40.88,35.0
294,44.0,41.27,33.0
295,44.0,41.12,33.0
296,44.0,41.16,34.0
297,44.0,41.07,35.0
298,44.0,41.15,35.0
299,44.0,41.29,33.0
300,44.0,40.96,33.0
301,44.0,41.36,37.0
302,44.0,41.1,33.0
303,44.0,41.18,35.0
304,44.0,41.82,37.0
305,44.0,41.79,37.0
306,44.0,41.66,36.0
307,44.0,41.81,35.0
308,44.0,41.48,33.0
309,44.0,41.13,35.0
310,44.0,41.04,33.0
311,44.0,40.65,36.0
312,44.0,40.38,32.0
313,44.0,40.8,32.0
314,44.0,41.33,36.0
315,44.0,41.27,33.0
316,44.0,41.57,34.0
317,44.0,41.74,35.0
318,44.0,41.63,36.0
319,44.0,41.47,35.0
320,44.0,41.5,34.0
321,44.0,41.44,34.0
322,44.0,40.93,36.0
323,44.0,40.94,32.0
324,44.0,41.01,34.0
325,44.0,40.89,35.0
326,44.0,40.57,32.0
327,44.0,41.14,34.0
328,44.0,41.04,34.0
329,44.0,40.88,33.0
330,44.0,41.22,34.0
331,44.0,41.08,35.0
332,44.0,41.19,34.0
333,44.0,41.2,34.0
334,44.0,41.17,33.0
335,44.0,41.38,34.0
336,44.0,41.48,33.0
337,44.0,41.68,37.0
338,44.0,41.68,34.0
339,44.0,41.24,34.0
340,44.0,41.18,34.0
341,44.0,40.93,32.0
342,44.0,41.27,35.0
343,44.0,40.99,35.0
344,44.0,40.82,35.0
345,44.0,41.1,36.0
346,44.0,40.93,31.0
347,44.0,41.17,36.0
348,44.0,41.14,36.0
349,44.0,41.54,34.0
350,44.0,41.24,35.0
351,44.0,41.42,36.0
352,44.0,41.17,34.0
353,44.0,41.01,35.0
354,44.0,40.47,34.0
355,44.0,40.46,36.0
356,44.0,40.6,34.0
357,44.0,40.36,33.0
358,44.0,40.12,34.0
359,44.0,40.26,34.0
360,44.0,40.36,34.0
361,44.0,40.37,34.0
362,44.0,40.21,34.0
363,44.0,40.24,34.0
364,44.0,40.42,36.0
365,44.0,40.79,36.0
366,44.0,40.73,37.0
367,44.0,40.76,36.0
368,44.0,41.02,36.0
369,44.0,41.2,35.0
370,44.0,40.86,33.0
371,44.0,40.68,34.0
372,44.0,40.64,35.0
373,44.0,40.84,34.0
374,44.0,40.76,32.0
375,44.0,40.81,32.0
376,44.0,40.98,34.0
377,44.0,40.83,34.0
378,44.0,40.81,33.0
379,44.0,40.95,34.0
380,44.0,41.12,36.0
381,44.0,41.29,37.0
382,44.0,41.28,35.0
383,44.0,41.09,35.0
384,44.0,41.5,34.0
385,44.0,41.38,36.0
386,44.0,41.45,37.0
387,44.0,41.97,37.0
388,44.0,41.76,35.0
389,44.0,41.93,34.0
390,44.0,42.16,37.0
391,44.0,41.94,37.0
392,44.0,41.54,35.0
393,44.0,41.23,35.0
394,44.0,41.58,36.0
395,44.0,41.43,37.0
396,44.0,41.52,37.0
397,44.0,41.58,35.0
398,44.0,41.35,33.0
399,44.0,41.48,35.0
400,44.0,41.66,37.0
401,44.0,41.46,37.0
402,44.0,41.43,37.0
403,44.0,41.64,35.0
404,44.0,41.87,35.0
405,44.0,41.91,35.0
406,44.0,41.2,33.0
407,44.0,41.72,36.0
408,44.0,41.71,35.0
409,44.0,41.7,37.0
410,44.0,41.85,37.0
411,44.0,42.05,37.0
412,44.0,41.93,34.0
413,44.0,41.89,35.0
414,44.0,42.02,36.0
415,44.0,42.09,36.0
416,44.0,41.91,37.0
417,44.0,42.08,36.0
418,44.0,42.39,37.0
419,44.0,42.38,37.0
420,44.0,42.53,35.0
421,44.0,42.38,36.0
422,44.0,42.1,36.0
423,44.0,41.93,37.0
424,44.0,42.24,38.0
425,44.0,42.11,36.0
426,44.0,42.33,37.0
427,44.0,42.33,36.0
428,44.0,42.31,38.0
429,44.0,42.07,36.0
430,44.0,41.97,38.0
