generation,best_fitness,avg_fitness,worst_fitness
0,41.0,35.04,25.0
1,41.0,36.38,31.0
2,41.0,37.38,31.0
3,41.0,37.81,32.0
4,42.0,38.25,32.0
5,42.0,38.88,36.0
6,43.0,39.1,33.0
7,44.0,39.68,35.0
8,44.0,40.32,35.0
9,44.0,41.3,37.0
10,44.0,41.93,37.0
11,44.0,42.9,40.0
12,44.0,43.44,40.0
13,44.0,43.66,40.0
14,44.0,43.84,41.0
15,44.0,43.97,41.0
16,44.0,43.96,41.0
17,44.0,43.86,40.0
18,44.0,43.88,40.0
19,44.0,43.95,40.0
20,44.0,43.9,41.0
21,44.0,43.85,41.0
22,44.0,43.87,41.0
23,44.0,43.92,41.0
24,44.0,43.9,41.0
25,44.0,43.93,42.0
26,44.0,43.92,41.0
27,44.0,43.88,41.0
28,44.0,43.97,42.0
29,45.0,43.92,41.0
