generation,best_fitness,avg_fitness,worst_fitness
0,40.0,35.16,29.0
1,40.0,36.69,32.0
2,41.0,37.16,31.0
3,41.0,37.47,32.0
4,42.0,37.93,31.0
5,42.0,38.58,34.0
6,42.0,38.86,35.0
7,42.0,39.42,35.0
8,43.0,39.91,35.0
9,43.0,40.75,35.0
10,43.0,41.59,37.0
11,43.0,41.73,38.0
12,43.0,41.66,38.0
13,43.0,41.9,38.0
14,43.0,42.08,39.0
15,43.0,42.29,39.0
16,43.0,42.37,39.0
17,43.0,42.21,40.0
18,43.0,42.31,39.0
19,43.0,42.26,37.0
20,43.0,42.47,41.0
21,43.0,42.57,37.0
22,43.0,42.5,40.0
23,43.0,42.73,40.0
24,43.0,42.8,40.0
25,43.0,42.75,39.0
26,43.0,42.77,40.0
27,43.0,42.65,39.0
28,43.0,42.89,41.0
29,43.0,42.82,40.0
30,43.0,42.72,40.0
31,43.0,42.81,39.0
32,43.0,42.76,39.0
33,43.0,42.79,40.0
34,44.0,42.89,40.0
35,44.0,42.78,40.0
36,44.0,42.8,40.0
37,44.0,42.83,39.0
38,44.0,42.88,39.0
39,44.0,42.8,39.0
40,44.0,42.81,38.0
41,44.0,42.92,40.0
42,44.0,43.21,40.0
43,44.0,43.62,41.0
44,44.0,43.91,41.0
45,44.0,43.83,40.0
46,44.0,43.88,40.0
47,44.0,43.93,41.0
48,44.0,43.9,40.0
49,44.0,43.88,40.0
50,44.0,43.87,40.0
51,44.0,43.82,41.0
52,44.0,43.83,41.0
53,44.0,43.85,40.0
54,44.0,43.92,40.0
55,44.0,43.76,40.0
56,44.0,43.83,40.0
57,44.0,43.86,40.0
58,44.0,43.85,40.0
59,44.0,43.87,40.0
60,45.0,43.82,40.0
