generation,best_fitness,avg_fitness,worst_fitness
0,39.0,35.03,24.0
1,41.0,36.72,30.0
2,42.0,37.77,33.0
3,42.0,38.5,33.0
4,42.0,39.24,35.0
5,42.0,39.65,36.0
6,42.0,39.61,36.0
7,42.0,40.27,35.0
8,42.0,41.14,38.0
9,42.0,41.25,37.0
10,42.0,41.69,38.0
11,42.0,41.58,38.0
12,42.0,41.56,38.0
13,42.0,41.55,37.0
14,42.0,41.49,38.0
15,42.0,41.61,39.0
16,42.0,41.68,37.0
17,42.0,41.77,38.0
18,42.0,41.8,38.0
19,42.0,41.75,38.0
20,42.0,41.78,37.0
21,42.0,41.8,39.0
22,42.0,41.67,38.0
23,42.0,41.79,38.0
24,42.0,41.91,39.0
25,42.0,41.73,39.0
26,42.0,41.88,39.0
27,42.0,41.76,38.0
28,42.0,41.67,37.0
29,42.0,41.76,38.0
30,42.0,41.79,38.0
31,42.0,41.73,38.0
32,42.0,41.81,39.0
33,42.0,41.84,37.0
34,42.0,41.83,37.0
35,42.0,41.86,38.0
36,42.0,41.8,39.0
37,42.0,41.81,39.0
38,42.0,41.82,38.0
39,42.0,41.9,38.0
40,42.0,41.84,39.0
41,42.0,41.9,39.0
42,42.0,41.94,38.0
43,42.0,41.71,38.0
44,42.0,41.79,37.0
45,42.0,41.64,38.0
46,42.0,41.64,38.0
47,42.0,41.69,38.0
48,42.0,41.94,40.0
49,42.0,41.82,38.0
50,42.0,41.81,39.0
51,42.0,41.74,37.0
52,42.0,41.8,38.0
53,42.0,41.76,38.0
54,42.0,41.74,38.0
55,42.0,41.78,38.0
56,42.0,41.75,38.0
57,42.0,41.73,39.0
58,42.0,41.66,37.0
59,42.0,41.91,39.0
60,42.0,41.83,39.0
61,42.0,41.79,39.0
62,42.0,41.81,38.0
63,42.0,41.8,37.0
64,42.0,41.78,38.0
65,42.0,41.83,38.0
66,42.0,41.62,38.0
67,42.0,41.96,40.0
68,42.0,41.81,37.0
69,42.0,41.74,38.0
70,42.0,41.59,37.0
71,42.0,41.71,38.0
72,42.0,41.88,39.0
73,42.0,41.76,38.0
74,42.0,41.69,38.0
75,42.0,41.72,38.0
76,42.0,41.84,38.0
77,42.0,41.85,38.0
78,42.0,41.81,38.0
79,42.0,41.82,38.0
80,42.0,41.79,38.0
81,42.0,41.9,39.0
82,42.0,41.76,37.0
83,42.0,41.82,38.0
84,42.0,41.88,40.0
85,42.0,41.84,38.0
86,42.0,41.87,40.0
87,42.0,41.75,37.0
88,42.0,41.63,36.0
89,42.0,41.78,38.0
90,42.0,41.96,40.0
