generation,best_fitness,avg_fitness,worst_fitness
0,41.0,35.06,27.0
1,41.0,36.33,30.0
2,42.0,36.59,32.0
3,42.0,36.88,29.0
4,42.0,37.18,30.0
5,43.0,37.57,30.0
6,44.0,38.37,31.0
7,44.0,39.41,35.0
8,44.0,40.25,35.0
9,44.0,40.83,33.0
10,44.0,42.2,39.0
11,44.0,42.94,39.0
12,44.0,43.35,40.0
13,44.0,43.71,40.0
14,44.0,43.81,41.0
15,44.0,43.85,41.0
16,44.0,43.7,40.0
17,44.0,43.78,40.0
18,44.0,43.82,41.0
19,44.0,43.86,42.0
20,44.0,43.79,41.0
21,44.0,43.72,40.0
22,44.0,43.8,41.0
23,44.0,43.78,40.0
24,44.0,43.93,42.0
25,44.0,43.92,41.0
26,44.0,43.79,41.0
27,44.0,43.84,41.0
28,44.0,43.98,42.0
29,44.0,43.8,41.0
30,44.0,43.69,41.0
31,44.0,43.68,39.0
32,44.0,43.74,41.0
33,44.0,43.77,40.0
34,44.0,43.83,39.0
35,44.0,43.82,40.0
36,44.0,43.87,41.0
37,44.0,43.86,41.0
38,44.0,43.88,40.0
39,44.0,43.82,40.0
40,44.0,43.82,42.0
41,44.0,43.87,41.0
42,44.0,43.89,40.0
43,44.0,43.84,40.0
44,44.0,43.74,41.0
45,44.0,43.86,40.0
46,44.0,43.91,41.0
47,44.0,43.77,40.0
48,44.0,43.94,41.0
49,44.0,43.87,41.0
50,44.0,43.74,40.0
51,44.0,43.82,40.0
52,44.0,43.8,41.0
53,44.0,43.85,41.0
54,44.0,43.8,41.0
55,44.0,43.81,39.0
56,44.0,43.84,41.0
57,44.0,43.83,41.0
58,44.0,43.75,41.0
59,45.0,43.89,41.0
