generation,best_fitness,avg_fitness,worst_fitness
0,39.0,35.36,27.0
1,41.0,36.46,31.0
2,41.0,37.4,31.0
3,41.0,37.72,30.0
4,42.0,38.59,33.0
5,43.0,39.1,34.0
6,43.0,39.66,34.0
7,43.0,40.72,37.0
8,44.0,40.93,36.0
9,44.0,41.25,37.0
10,44.0,41.67,37.0
11,44.0,42.46,38.0
12,44.0,43.09,40.0
13,44.0,43.32,38.0
14,44.0,43.71,41.0
15,44.0,43.81,40.0
16,44.0,43.92,41.0
17,44.0,43.88,40.0
18,44.0,43.82,40.0
19,44.0,43.92,41.0
20,44.0,43.89,40.0
21,44.0,43.91,42.0
22,44.0,43.82,40.0
23,44.0,43.86,41.0
24,44.0,43.91,41.0
25,44.0,43.91,41.0
26,44.0,43.86,40.0
27,44.0,43.86,41.0
28,44.0,43.81,40.0
29,44.0,43.91,41.0
30,45.0,43.96,41.0
