generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.95,28.0
1,41.0,36.53,30.0
2,41.0,37.55,32.0
3,42.0,38.13,30.0
4,42.0,39.07,34.0
5,42.0,39.78,35.0
6,43.0,40.24,36.0
7,43.0,40.82,36.0
8,43.0,40.92,36.0
9,43.0,41.26,37.0
10,43.0,41.82,38.0
11,43.0,42.06,38.0
12,43.0,42.19,39.0
13,43.0,42.25,39.0
14,43.0,42.48,38.0
15,43.0,42.59,39.0
16,43.0,42.68,39.0
17,43.0,42.54,40.0
18,43.0,42.45,39.0
19,43.0,42.71,38.0
20,43.0,42.69,39.0
21,43.0,42.73,39.0
22,43.0,42.71,40.0
23,43.0,42.68,38.0
24,43.0,42.64,38.0
25,43.0,42.82,40.0
26,43.0,42.75,40.0
27,43.0,42.81,40.0
28,43.0,42.82,39.0
29,43.0,42.82,40.0
30,43.0,42.73,39.0
31,43.0,42.7,39.0
32,43.0,42.68,40.0
33,43.0,42.72,39.0
34,43.0,42.78,40.0
35,43.0,42.83,40.0
36,43.0,42.81,38.0
37,43.0,42.78,40.0
38,43.0,42.81,40.0
39,43.0,42.83,39.0
40,43.0,42.78,39.0
41,43.0,42.8,39.0
42,43.0,42.88,39.0
43,43.0,42.74,40.0
44,43.0,42.71,40.0
45,43.0,42.77,40.0
46,43.0,42.78,40.0
47,43.0,42.85,40.0
48,43.0,42.68,39.0
49,43.0,42.8,40.0
50,43.0,42.62,39.0
51,43.0,42.65,38.0
52,43.0,42.56,38.0
53,43.0,42.7,39.0
54,43.0,42.78,40.0
55,43.0,42.8,40.0
56,43.0,42.83,38.0
57,43.0,42.74,39.0
58,43.0,42.79,40.0
59,43.0,42.79,38.0
60,43.0,42.83,39.0
61,43.0,42.55,38.0
62,43.0,42.72,39.0
63,43.0,42.8,38.0
64,43.0,42.79,39.0
65,43.0,42.65,38.0
66,43.0,42.68,40.0
67,43.0,42.81,40.0
68,43.0,42.64,39.0
69,43.0,42.85,41.0
70,43.0,42.72,38.0
71,43.0,42.7,37.0
72,43.0,42.88,40.0
73,43.0,42.66,39.0
74,43.0,42.74,39.0
75,43.0,42.6,40.0
76,43.0,42.54,38.0
77,43.0,42.69,39.0
78,43.0,42.52,39.0
79,43.0,42.7,38.0
80,43.0,42.7,39.0
81,43.0,42.82,40.0
82,43.0,42.7,39.0
83,43.0,42.84,40.0
84,43.0,42.66,38.0
85,43.0,42.67,39.0
86,43.0,42.81,39.0
87,43.0,42.78,39.0
88,43.0,42.87,40.0
89,43.0,42.69,38.0
90,43.0,42.77,38.0
91,43.0,42.72,37.0
92,43.0,42.83,40.0
93,43.0,42.71,40.0
94,43.0,42.66,38.0
95,43.0,42.85,37.0
96,43.0,42.82,40.0
97,43.0,42.76,40.0
98,43.0,42.59,38.0
99,43.0,42.77,40.0
100,43.0,42.72,40.0
101,43.0,42.71,37.0
102,43.0,42.7,40.0
103,43.0,42.56,38.0
104,43.0,42.62,38.0
105,43.0,42.51,39.0
106,43.0,42.47,39.0
107,43.0,42.71,38.0
108,43.0,42.71,40.0
109,43.0,42.72,40.0
110,43.0,42.57,38.0
111,43.0,42.7,39.0
112,43.0,42.64,38.0
113,43.0,42.73,39.0
114,43.0,42.64,39.0
115,43.0,42.82,40.0
116,43.0,42.61,38.0
117,43.0,42.57,38.0
118,43.0,42.73,39.0
119,43.0,42.65,39.0
