generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.88,24.0
1,41.0,36.47,29.0
2,41.0,37.19,31.0
3,42.0,37.96,34.0
4,42.0,38.38,34.0
5,42.0,38.65,34.0
6,42.0,39.15,28.0
7,43.0,39.6,34.0
8,43.0,40.51,33.0
9,43.0,40.72,36.0
10,43.0,41.34,35.0
11,43.0,42.33,38.0
12,43.0,42.88,41.0
13,43.0,42.86,40.0
14,44.0,42.98,41.0
15,44.0,42.86,39.0
16,44.0,42.95,40.0
17,44.0,42.98,41.0
18,44.0,43.26,40.0
19,44.0,43.72,41.0
20,44.0,43.96,42.0
21,44.0,43.91,41.0
22,44.0,43.9,41.0
23,44.0,43.91,41.0
24,44.0,43.97,43.0
25,44.0,43.86,40.0
26,44.0,43.95,42.0
27,44.0,43.88,41.0
28,44.0,43.91,40.0
29,44.0,43.95,41.0
30,44.0,43.92,41.0
31,44.0,43.87,40.0
32,44.0,43.91,40.0
33,44.0,43.96,42.0
34,44.0,43.83,40.0
35,44.0,43.82,40.0
36,44.0,43.94,41.0
37,44.0,43.88,41.0
38,44.0,43.86,40.0
39,44.0,43.94,41.0
40,44.0,43.92,41.0
41,44.0,43.86,40.0
42,44.0,43.91,41.0
43,44.0,43.89,41.0
44,44.0,43.84,40.0
45,44.0,43.92,40.0
46,44.0,43.81,40.0
47,44.0,43.9,41.0
48,44.0,43.9,41.0
49,44.0,43.88,40.0
50,44.0,43.8,40.0
51,44.0,43.84,40.0
52,44.0,43.93,42.0
53,44.0,43.83,40.0
54,44.0,43.82,40.0
55,44.0,43.96,42.0
56,45.0,43.9,40.0
