generation,best_fitness,avg_fitness,worst_fitness
0,42.0,35.11,29.0
1,42.0,36.33,29.0
2,42.0,37.33,31.0
3,42.0,38.31,32.0
4,42.0,39.18,33.0
5,43.0,39.74,32.0
6,43.0,40.15,35.0
7,43.0,41.28,37.0
8,43.0,41.75,38.0
9,43.0,41.89,38.0
10,43.0,42.45,39.0
11,43.0,42.62,38.0
12,43.0,42.8,40.0
13,44.0,42.86,40.0
14,44.0,42.84,40.0
15,44.0,42.94,39.0
16,44.0,43.36,41.0
17,44.0,43.72,40.0
18,44.0,43.94,40.0
19,44.0,43.91,41.0
20,44.0,43.89,40.0
21,44.0,43.95,41.0
22,44.0,43.93,40.0
23,44.0,43.94,41.0
24,44.0,43.89,41.0
25,44.0,43.93,41.0
26,44.0,43.87,41.0
27,44.0,43.9,41.0
28,44.0,43.93,42.0
29,44.0,43.8,41.0
30,44.0,43.98,43.0
31,44.0,43.89,41.0
32,44.0,43.96,42.0
33,44.0,43.9,41.0
34,44.0,43.98,42.0
35,44.0,43.9,41.0
36,44.0,43.9,41.0
37,44.0,43.85,41.0
38,44.0,43.84,41.0
39,44.0,43.97,42.0
40,44.0,43.89,41.0
41,44.0,43.88,40.0
42,44.0,43.95,42.0
43,44.0,43.91,40.0
44,44.0,43.86,41.0
45,44.0,43.93,41.0
46,45.0,43.96,42.0
