generation,best_fitness,avg_fitness,worst_fitness
0,41.0,35.05,26.0
1,41.0,36.59,28.0
2,42.0,37.17,29.0
3,42.0,38.06,30.0
4,42.0,38.36,34.0
5,42.0,39.05,34.0
6,43.0,39.19,34.0
7,43.0,39.7,35.0
8,43.0,39.89,35.0
9,43.0,40.25,36.0
10,43.0,40.29,36.0
11,43.0,40.21,36.0
12,44.0,40.35,34.0
13,44.0,40.59,31.0
14,44.0,41.53,37.0
15,44.0,42.03,38.0
16,44.0,42.38,40.0
17,44.0,42.66,38.0
18,44.0,42.89,38.0
19,44.0,43.07,38.0
20,44.0,42.5,38.0
21,44.0,43.16,38.0
22,44.0,43.02,38.0
23,44.0,42.57,38.0
24,44.0,43.14,38.0
25,44.0,43.04,38.0
26,44.0,43.0,38.0
27,44.0,43.1,38.0
28,44.0,43.5,38.0
29,44.0,43.25,38.0
30,44.0,43.84,40.0
31,44.0,43.95,41.0
32,44.0,43.93,41.0
33,44.0,43.94,41.0
34,44.0,43.81,40.0
35,44.0,43.9,40.0
36,44.0,43.98,42.0
37,44.0,43.93,41.0
38,44.0,43.99,43.0
39,44.0,43.91,42.0
40,44.0,43.95,42.0
41,44.0,43.95,42.0
42,44.0,43.86,41.0
43,44.0,43.91,41.0
44,44.0,43.95,42.0
45,44.0,43.97,42.0
46,44.0,43.93,41.0
47,44.0,43.96,42.0
48,44.0,43.95,41.0
49,44.0,43.91,41.0
50,44.0,43.91,40.0
51,44.0,43.92,41.0
52,44.0,43.94,41.0
53,44.0,43.97,42.0
54,44.0,43.91,40.0
55,44.0,43.96,42.0
56,44.0,43.96,41.0
57,44.0,43.91,41.0
58,44.0,43.95,41.0
59,44.0,43.95,42.0
60,44.0,43.92,41.0
61,44.0,43.85,41.0
62,45.0,43.86,40.0
