generation,best_fitness,avg_fitness,worst_fitness
0,417.0,402.185,380.0
1,418.0,405.05,392.0
2,418.0,406.55,393.0
3,420.0,408.65,393.0
4,420.0,409.305,397.0
5,421.0,409.885,399.0
6,421.0,411.58,399.0
7,421.0,413.075,399.0
8,422.0,415.04,403.0
9,423.0,417.495,409.0
10,424.0,419.24,414.0
11,424.0,420.39,415.0
12,424.0,421.32,417.0
13,425.0,422.285,419.0
14,426.0,423.08,419.0
15,426.0,423.99,421.0
16,426.0,424.525,421.0
17,426.0,425.16,421.0
18,427.0,425.44,421.0
19,427.0,425.82,423.0
20,427.0,425.915,422.0
21,427.0,425.91,422.0
22,427.0,425.94,421.0
23,428.0,426.145,422.0
24,428.0,426.455,423.0
25,428.0,426.7,423.0
26,428.0,426.76,423.0
27,429.0,426.94,425.0
28,429.0,427.085,424.0
29,429.0,427.435,425.0
30,429.0,427.57,424.0
31,429.0,427.77,425.0
32,429.0,428.16,425.0
33,429.0,428.495,426.0
34,429.0,428.73,425.0
35,429.0,428.79,425.0
36,429.0,428.765,425.0
37,429.0,428.86,425.0
38,429.0,428.915,426.0
39,429.0,428.815,425.0
40,429.0,428.87,425.0
41,429.0,428.91,426.0
42,429.0,428.85,426.0
43,429.0,428.825,425.0
44,429.0,428.94,426.0
45,429.0,428.975,426.0
46,429.0,428.755,424.0
47,429.0,428.845,425.0
48,429.0,428.86,425.0
49,429.0,428.88,424.0
50,429.0,428.915,425.0
51,429.0,428.825,425.0
52,429.0,428.89,426.0
53,429.0,428.83,426.0
54,429.0,428.905,424.0
55,429.0,428.905,426.0
56,429.0,428.94,426.0
57,429.0,428.855,426.0
58,429.0,428.91,425.0
59,429.0,428.91,426.0
60,429.0,428.905,425.0
61,429.0,428.91,425.0
62,429.0,428.885,426.0
63,429.0,428.925,425.0
64,429.0,428.88,426.0
65,429.0,428.915,426.0
66,429.0,428.905,425.0
67,429.0,428.785,425.0
68,430.0,428.87,425.0
69,430.0,428.895,425.0
70,430.0,428.875,426.0
